pdb_id,organism_scientific_name,tax_id,organism_synonyms,rank,genus,superkingdom,molecule_name,molecule_synonym,molecule_type,entity_id,modified_residue_flag,mutation_type,uniprot_accession,uniprot_id,gene_name,interacting_molecules,interacting_ligands,compound_id,compound_name,compound_systematic_name,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues
2a5i,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,"EDO : 1\,2-ETHANEDIOL,AZP : (5S\,8S\,14R)-ETHYL 11-(3-AMINO-3-OXOPROPYL)-8-BENZYL-14-HYDROXY-5-ISOBUTYL-3\,6\,9\,12-TETRAOXO-1-PHENYL-2-OXA-4\,7\,10\,11-TETRAAZAPENTADECAN-15-OATE,GOL : GLYCEROL","EDO,AZP,GOL","EDO : 1\,2-ETHANEDIOL,AZP : (5S\,8S\,14R)-ETHYL 11-(3-AMINO-3-OXOPROPYL)-8-BENZYL-14-HYDROXY-5-ISOBUTYL-3\,6\,9\,12-TETRAOXO-1-PHENYL-2-OXA-4\,7\,10\,11-TETRAAZAPENTADECAN-15-OATE,GOL : GLYCEROL","EDO : ethane-1\,2-diol,AZP : ethyl (2S)-4-[(3-amino-3-oxo-propyl)-[[(2S)-2-[[(2S)-4-methyl-2-phenylmethoxycarbonylamino-pentanoyl]amino]-3-phenyl-propanoyl]amino]amino]-2-hydroxy-4-oxo-butanoate,AZP : ethyl (5S\,8S\,14S)-11-(3-amino-3-oxopropyl)-8-benzyl-14-hydroxy-5-(2-methylpropyl)-3\,6\,9\,12-tetraoxo-1-phenyl-2-oxa-4\,7\,10\,11-tetraazapentadecan-15-oate (non-preferred name),GOL : propane-1\,2\,3-triol",33876.637,1,306,1,3,1,306
2a5k,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,Expression tag,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,"AZP : (5S\,8S\,14R)-ETHYL 11-(3-AMINO-3-OXOPROPYL)-8-BENZYL-14-HYDROXY-5-ISOBUTYL-3\,6\,9\,12-TETRAOXO-1-PHENYL-2-OXA-4\,7\,10\,11-TETRAAZAPENTADECAN-15-OATE",AZP,"AZP : (5S\,8S\,14R)-ETHYL 11-(3-AMINO-3-OXOPROPYL)-8-BENZYL-14-HYDROXY-5-ISOBUTYL-3\,6\,9\,12-TETRAOXO-1-PHENYL-2-OXA-4\,7\,10\,11-TETRAAZAPENTADECAN-15-OATE","AZP : ethyl (2S)-4-[(3-amino-3-oxo-propyl)-[[(2S)-2-[[(2S)-4-methyl-2-phenylmethoxycarbonylamino-pentanoyl]amino]-3-phenyl-propanoyl]amino]amino]-2-hydroxy-4-oxo-butanoate,AZP : ethyl (5S\,8S\,14S)-11-(3-amino-3-oxopropyl)-8-benzyl-14-hydroxy-5-(2-methylpropyl)-3\,6\,9\,12-tetraoxo-1-phenyl-2-oxa-4\,7\,10\,11-tetraazapentadecan-15-oate (non-preferred name)",33947.71,2,614,1,1,2,304
2alv,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,"CY6 : N-((3S\,6R)-6-((S\,E)-4-ETHOXYCARBONYL-1-((S)-2-OXOPYRROLIDIN-3-YL)BUT-3-EN-2-YLCARBAMOYL)-2\,9-DIMETHYL-4-OXODEC-8-EN-3-YL)-5-METHYLISOXAZOLE-3-CARBOXAMIDE",CY6,"CY6 : N-((3S\,6R)-6-((S\,E)-4-ETHOXYCARBONYL-1-((S)-2-OXOPYRROLIDIN-3-YL)BUT-3-EN-2-YLCARBAMOYL)-2\,9-DIMETHYL-4-OXODEC-8-EN-3-YL)-5-METHYLISOXAZOLE-3-CARBOXAMIDE","CY6 : ethyl (E\,4S)-4-[[(2R\,5S)-6-methyl-2-(3-methylbut-2-enyl)-5-[(5-methyl-1\,2-oxazol-3-yl)carbonylamino]-4-oxo-heptanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate,CY6 : ethyl (2E\,4S)-4-{[(2R\,5S)-6-methyl-2-(3-methylbut-2-en-1-yl)-5-{[(5-methylisoxazol-3-yl)carbonyl]amino}-4-oxoheptanoyl]amino}-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",33797.62,1,306,1,1,1,302
2amd,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,Cloning artifact,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,"9IN : N-(3-FUROYL)-D-VALYL-L-VALYL-N~1~-((1R\,2Z)-4-ETHOXY-4-OXO-1-{[(3S)-2-OXOPYRROLIDIN-3-YL]METHYL}BUT-2-ENYL)-D-LEUCINAMIDE",9IN,"9IN : N-(3-FUROYL)-D-VALYL-L-VALYL-N~1~-((1R\,2Z)-4-ETHOXY-4-OXO-1-{[(3S)-2-OXOPYRROLIDIN-3-YL]METHYL}BUT-2-ENYL)-D-LEUCINAMIDE","9IN : N-(furan-3-ylcarbonyl)-L-valyl-L-valyl-N-[(1S\,2E)-4-ethoxy-4-oxo-1-{[(3S)-2-oxopyrrolidin-3-yl]methyl}but-2-en-1-yl]-L-leucinamide,9IN : ethyl (4S)-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-(furan-3-ylcarbonylamino)-3-methyl-butanoyl]amino]-3-methyl-butanoyl]amino]-4-methyl-pentanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",34288.086,2,622,1,1,2,309
2amq,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"ORF1a polyprotein,nsp11,nsp3,p65 homolog,Replicase polyprotein 1a,Non-structural protein 3,Non-structural protein 8,3CLp,nsp5,nsp2,Leader protein,GFL,Growth factor-like peptide,SARS coronavirus main proteinase,PL-PRO,Non-structural protein 1,Non-structural protein 11,Non-structural protein 6,Non-structural protein 9,nsp4,Papain-like proteinase,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,nsp1,nsp6,nsp7,pp1a,3C-like proteinase,Non-structural protein 7,3CL-PRO,nsp8,nsp10,nsp9,PL2-PRO",Protein,1,N,Cloning artifact,P0C6U8,R1A_CVHSA,1a,"N-[(5-METHYLISOXAZOL-3-YL)CARBONYL]ALANYL-L-VALYL-N~1~-((1R\,2Z)-4-(BENZYLOXY)-4-OXO-1-{[(3R)-2-OXOPYRROLIDIN-3-YL]METHYL}BUT-2-ENYL)-L-LEUCINAMIDE",,"010,02J,PJE","010 : phenylmethanol,02J : 5-methyl-1\,2-oxazole-3-carboxylic acid,PJE : (E\,4S)-4-azanyl-5-[(3S)-2-oxidanylidenepyrrolidin-3-yl]pent-2-enoic acid","PJE : (E\,4S)-4-azanyl-5-[(3S)-2-oxidanylidenepyrrolidin-3-yl]pent-2-enoic acid,02J : 5-methyl-1\,2-oxazole-3-carboxylic acid,010 : phenylmethanol",34288.086,4,634,2,0,4,303
2bx3,SARS coronavirus Sin2774,235410,"Sars Coronavirus Sin2774,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,1,306,1,0,1,300
2bx4,SARS coronavirus Sin2774,235410,"Sars Coronavirus Sin2774,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,1,306,1,0,1,298
2c3s,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,,,,,33876.637,1,306,1,0,1,302
2d2d,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,Cloning artifact,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,"ENB : ETHYL (2E\,4S)-4-[((2R)-2-{[N-(TERT-BUTOXYCARBONYL)-L-VALYL]AMINO}-2-PHENYLETHANOYL)AMINO]-5-[(3S)-2-OXOPYRROLIDIN-3-YL]PENT-2-ENOATE",ENB,"ENB : ETHYL (2E\,4S)-4-[((2R)-2-{[N-(TERT-BUTOXYCARBONYL)-L-VALYL]AMINO}-2-PHENYLETHANOYL)AMINO]-5-[(3S)-2-OXOPYRROLIDIN-3-YL]PENT-2-ENOATE","ENB : ethyl (2E\,4S)-4-{[(2S)-2-{[N-(tert-butoxycarbonyl)-L-valyl]amino}-2-phenylacetyl]amino}-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate,ENB : ethyl (4S)-4-[[(2S)-2-[[(2S)-3-methyl-2-[(2-methylpropan-2-yl)oxycarbonylamino]butanoyl]amino]-2-phenyl-ethanoyl]amino]-5-[(3S)-2-oxopyrrolidin-3-yl]pent-2-enoate",34288.086,2,622,1,1,2,302
2duc,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"ORF1a polyprotein,nsp11,nsp3,p65 homolog,Replicase polyprotein 1a,Non-structural protein 3,Non-structural protein 8,3CLp,nsp5,nsp2,Leader protein,GFL,Growth factor-like peptide,SARS coronavirus main proteinase,PL-PRO,Non-structural protein 1,Non-structural protein 11,Non-structural protein 6,Non-structural protein 9,nsp4,Papain-like proteinase,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,nsp1,nsp6,nsp7,pp1a,3C-like proteinase,Non-structural protein 7,3CL-PRO,nsp8,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6U8,R1A_CVHSA,1a,,,,,,33876.637,2,612,1,0,2,306
2gt7,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,Orf1a polyprotein,Protein,1,N,,Q1EFP6,Q1EFP6_CVHSA,,,MES : 2-(N-MORPHOLINO)-ETHANESULFONIC ACID,MES,MES : 2-(N-MORPHOLINO)-ETHANESULFONIC ACID,MES : 2-morpholin-4-ium-4-ylethanesulfonate,33876.637,2,612,1,1,2,302
2gt8,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,Peptidase C30 domain-containing protein,"Orf1ab polyprotein,Peptidase C30 domain-containing protein",Protein,1,N,Insertion,Q6T1E9,Q6T1E9_CVHSA,,,,,,,33947.71,1,307,1,0,1,298
2gtb,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,Peptidase C30 domain-containing protein,"Orf1ab polyprotein,Peptidase C30 domain-containing protein",Protein,1,N,Insertion,Q6T1E9,Q6T1E9_CVHSA,,,"AZP : (5S\,8S\,14R)-ETHYL 11-(3-AMINO-3-OXOPROPYL)-8-BENZYL-14-HYDROXY-5-ISOBUTYL-3\,6\,9\,12-TETRAOXO-1-PHENYL-2-OXA-4\,7\,10\,11-TETRAAZAPENTADECAN-15-OATE,ACY : ACETIC ACID","AZP,ACY","AZP : (5S\,8S\,14R)-ETHYL 11-(3-AMINO-3-OXOPROPYL)-8-BENZYL-14-HYDROXY-5-ISOBUTYL-3\,6\,9\,12-TETRAOXO-1-PHENYL-2-OXA-4\,7\,10\,11-TETRAAZAPENTADECAN-15-OATE,ACY : ACETIC ACID","AZP : ethyl (2S)-4-[(3-amino-3-oxo-propyl)-[[(2S)-2-[[(2S)-4-methyl-2-phenylmethoxycarbonylamino-pentanoyl]amino]-3-phenyl-propanoyl]amino]amino]-2-hydroxy-4-oxo-butanoate,AZP : ethyl (5S\,8S\,14S)-11-(3-amino-3-oxopropyl)-8-benzyl-14-hydroxy-5-(2-methylpropyl)-3\,6\,9\,12-tetraoxo-1-phenyl-2-oxa-4\,7\,10\,11-tetraazapentadecan-15-oate (non-preferred name),ACY : ethanoic acid,ACY : acetic acid",33947.71,1,307,1,2,1,299
2gx4,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,3C-like proteinase,"p65 homolog,nsp3,pp1ab,2'-O-methyltransferase,Non-structural protein 8,Uridylate-specific endoribonuclease,3CLp,Non-structural protein 3,nsp12,nsp5,Host translation inhibitor nsp1,Hel,nsp2,Leader protein,NendoU,GFL,ExoN,PL-PRO,Pol,Growth factor-like peptide,SARS coronavirus main proteinase,nsp14,nsp16,ORF1ab polyprotein,Non-structural protein 6,Non-structural protein 9,Papain-like proteinase,nsp4,Non-structural protein 10,Non-structural protein 2,Non-structural protein 4,RNA-directed RNA polymerase,nsp1,nsp6,nsp7,nsp13,nsp15,Replicase polyprotein 1ab,3C-like proteinase,Non-structural protein 7,3CL-PRO,RdRp,nsp8,Guanine-N7 methyltransferase,Helicase,nsp10,nsp9,PL2-PRO",Protein,1,N,,P0C6X7,R1AB_CVHSA,"rep,1a-1b",,NOL : N-[(BENZYLOXY)CARBONYL]-O-(TERT-BUTYL)-L-THREONYL-3-CYCLOHEXYL-N-[(1S)-2-HYDROXY-1-{[(3S)-2-OXOPYRROLIDIN-3-YL]METHYL}ETHYL]-L-ALANINAMIDE,NOL,NOL : N-[(BENZYLOXY)CARBONYL]-O-(TERT-BUTYL)-L-THREONYL-3-CYCLOHEXYL-N-[(1S)-2-HYDROXY-1-{[(3S)-2-OXOPYRROLIDIN-3-YL]METHYL}ETHYL]-L-ALANINAMIDE,"NOL : N-[(benzyloxy)carbonyl]-O-tert-butyl-L-threonyl-3-cyclohexyl-N-[(1S)-2-hydroxy-1-{[(3S)-2-oxopyrrolidin-3-yl]methyl}ethyl]-L-alaninamide,NOL : phenylmethyl N-[(2S\,3R)-1-[[(2S)-3-cyclohexyl-1-[[(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl]amino]-1-oxo-propan-2-yl]amino]-3-[(2-methylpropan-2-yl)oxy]-1-oxo-butan-2-yl]carbamate",33876.637,1,306,1,1,1,306
2gz7,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,Replicase polyprotein 1ab,Orf1a polyprotein,Protein,1,N,,Q6RCZ9,Q6RCZ9_CVHSA,,,"D3F : 2-[(2\,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1\,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",D3F,"D3F : 2-[(2\,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1\,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE","D3F : 1\,5-dichloro-2-[2\,6-dinitro-4-(trifluoromethyl)phenyl]sulfonyl-4-methyl-benzene,D3F : 2\,4-dichloro-5-methylphenyl 2\,6-dinitro-4-(trifluoromethyl)phenyl sulfone",33876.637,1,306,1,1,1,306
2gz8,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,Replicase polyprotein 1ab,Orf1a polyprotein,Protein,1,N,,Q692E5,Q692E5_CVHSA,,,"F3F : S-[5-(TRIFLUOROMETHYL)-4H-1\,2\,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",F3F,"F3F : S-[5-(TRIFLUOROMETHYL)-4H-1\,2\,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE","F3F : S-[5-(trifluoromethyl)-4H-1\,2\,4-triazol-3-yl] 5-(phenylethynyl)furan-2-carbothioate,F3F : S-[[5-(trifluoromethyl)-4H-1\,2\,4-triazol-3-yl]] 5-(2-phenylethynyl)furan-2-carbothioate",33876.637,1,306,1,1,1,306
2gz9,Severe acute respiratory syndrome-related coronavirus,694009,"Sars-Like Coronavirus,Sars-Related Coronavirus,Severe Acute Respiratory Syndrome-Related Coronavirus,Sarsr-Cov,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Orthocoronavirinae,Coronaviridae,Nidovirales,Viruses","species,genus,subfamily,family,order,superkingdom,species,genus,family,order,class,phylum,superkingdom",Betacoronavirus,Viruses,Replicase polyprotein 1ab,Orf1a polyprotein,Protein,1,N,,Q6RCY8,Q6RCY8_CVHSA,,,,,,,33876.637,1,306,1,0,1,306
